id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12013947,Rental unit in Athina · ★4.49 · 3 bedrooms · 8 beds · 2 baths,16842834,Dora,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99127,23.72892,Entire home/apt,96,2,116,8/26/2023,1.3,4,356,14,522468
12916798,Rental unit in Athina · ★4.88 · 1 bedroom · 1 bed · 1 bath,70837308,Yorgos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99265,23.72687,Entire home/apt,35,4,48,4/21/2021,0.54,1,316,0,294666
12023315,Condo in Athina · ★5.0 · 1 bedroom · 2 beds · 1 bath,333086,Thanos,,ΚΟΛΟΚΥΝΘΟΥ,38.0005,23.71197,Entire home/apt,60,3,7,5/29/2018,0.08,1,332,0,
12923641,Rental unit in Athina · ★4.48 · 1 bedroom · 1 bed · 1 bath,7044925,Konstantinos,,ΑΝΩ ΚΥΨΕΛΗ,38.00553,23.73864,Entire home/apt,32,5,22,7/16/2023,0.26,1,194,3,462586
12038136,Rental unit in Athens · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,21934867,Willian,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96273,23.73025,Private room,38,2,334,9/4/2023,3.67,2,111,45,1187859
12059826,Rental unit in Athina · ★4.81 · 2 bedrooms · 4 beds · 2 baths,63756719,Nikos,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99272,23.76408,Entire home/apt,70,5,47,6/30/2023,0.52,1,2,2,140730
12931756,Rental unit in Athina · ★4.89 · 1 bedroom · 1 bed · 1 bath,53200538,Thanos,,ΠΑΓΚΡΑΤΙ,37.96875,23.75306,Entire home/apt,54,1,160,9/15/2023,1.81,1,0,23,37540
12099646,Rental unit in Athina · Studio · 1 bed · 1 bath,64871094,Handley,,ΚΟΛΩΝΑΚΙ,37.98002,23.74731,Entire home/apt,40,5,0,,,1,0,0,
12948824,Rental unit in Αθήνα · ★4.93 · 1 bedroom · 1 bed · 1 bath,71060948,Grigoris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97486,23.72639,Entire home/apt,131,2,483,9/19/2023,5.51,1,186,74,517866
12104645,Condo in Athina · ★4.76 · Studio · 1 bed · 1 bath,48579756,Aikaterini,,ΑΝΩ ΠΑΤΗΣΙΑ,38.02487,23.74054,Entire home/apt,30,5,168,8/29/2023,1.86,2,0,12,2083093
12967404,Rental unit in Αθήνα · ★4.80 · 2 bedrooms · 3 beds · 2 baths,14273342,Effie,,ΚΟΛΩΝΟΣ,38.0002,23.71689,Entire home/apt,25,1,16,8/28/2022,0.18,2,114,0,201150
12976607,Condo in Athina · ★4.83 · 1 bedroom · 1 bed · 1 bath,71429907,Ioannis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97379,23.72983,Entire home/apt,189,2,288,9/11/2023,3.26,1,339,28,902803
12121787,Rental unit in Athina · 2 bedrooms · 2 beds · 1 bath,65028913,Simos,,ΣΤΑΔΙΟ,37.96563,23.74364,Entire home/apt,110,10,0,,,1,0,0,
12980598,Rental unit in Athina · ★4.93 · 1 bedroom · 2 beds · 1 bath,36153148,Anna & Efi,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97723,23.72615,Entire home/apt,147,2,338,9/6/2023,3.8,6,335,55,1273294
12122321,Rental unit in Athina · ★4.95 · 1 bedroom · 1 bed · 1 bath,38308267,Olga,,ΠΑΤΗΣΙΑ,38.01087,23.73183,Entire home/apt,32,2,20,9/16/2023,0.26,1,92,11,620625
12985350,Rental unit in Athina · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,71512631,Angel And Ailbhe,,ΚΕΡΑΜΕΙΚΟΣ,37.98165,23.72302,Entire home/apt,59,2,19,9/12/2019,0.22,2,0,0,1227572
12986397,Condo in Athina · ★4.82 · 1 bedroom · 1 bed · 1 bath,10024920,Athanasia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97876,23.72546,Entire home/apt,90,2,68,6/11/2023,0.86,2,150,8,1363360
12993828,Rental unit in Athina · ★4.82 · 2 bedrooms · 4 beds · 1 bath,41365463,Yannis,,ΣΤΑΔΙΟ,37.96524,23.74487,Entire home/apt,58,3,60,9/8/2023,0.68,2,348,16,1865147
12131708,Guesthouse in Athina · ★4.96 · Studio · 1 bed · 1 bath,6389192,Karima,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96342,23.72027,Entire home/apt,59,2,203,9/11/2023,2.28,1,157,30,245970
12165789,Villa in Athina · ★4.96 · 4 bedrooms · 5 beds · 3.5 baths,16421550,The Urban Villas And Suites,,ΑΚΡΟΠΟΛΗ,37.96408081,23.71773338,Entire home/apt,270,2,113,8/14/2023,1.25,3,268,19,10000331401
13015874,Condo in Athina · ★4.95 · 2 bedrooms · 2 beds · 1 bath,54838567,Christos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99539,23.72878,Entire home/apt,69,2,260,9/4/2023,2.96,3,347,35,1589155
12168858,Rental unit in Athina · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,2089542,Tia & Mike,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96244,23.7217,Private room,36,1,153,8/23/2023,1.7,59,63,4,164295
13035089,Aparthotel in Athina · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,72057303,Karitsi,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97695,23.73284,Private room,160,1,93,9/18/2022,1.04,4,347,0,12000346201
12179521,Condo in Athina · ★4.70 · Studio · 1 bed · 1 bath,63903716,Theo,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.988209,23.741968,Entire home/apt,50,2,84,9/10/2023,0.93,38,272,4,1642490
13035789,Rental unit in Athina · ★4.81 · 3 bedrooms · 3 beds · 1 bath,72065863,Lefki,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96283,23.73129,Entire home/apt,49,2,27,9/10/2023,0.31,1,0,4,
13035913,Aparthotel in Athina · ★4.68 · 2 bedrooms · 2 beds · 2 baths,72057303,Karitsi,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97665,23.73239,Private room,134,1,100,6/28/2023,1.16,4,336,7,1139199
12182711,Rental unit in Athina · ★4.85 · Studio · 3 beds · 1 bath,29977689,Diamond,,ΑΜΠΕΛΟΚΗΠΟΙ,37.99873,23.76718,Entire home/apt,62,1,523,9/17/2023,5.88,18,92,55,1865274
12193432,Rental unit in Athina · ★4.59 · 1 bedroom · 1 bed · 1 bath,65547595,George,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98789,23.7413,Entire home/apt,45,1,39,10/29/2017,0.44,1,356,0,
13039289,Rental unit in Athina · ★4.90 · 1 bedroom · 2 beds · 1 bath,9530305,Vaitsa,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98465,23.73812,Entire home/apt,63,2,94,9/7/2023,1.06,3,256,15,1817350
13044632,Condo in Αθήνα · ★4.86 · 1 bedroom · 2 beds · 1 bath,47462208,Andreas,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.9861564,23.7150652,Entire home/apt,60,2,51,9/10/2023,0.6,1,156,11,1217824
12222312,Serviced apartment in Athens · ★4.67 · Studio · 2 beds · 1 bath,22227167,Alexandros,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97896,23.72342,Entire home/apt,79,1,310,9/16/2023,3.45,17,157,50,569940
13073745,Rental unit in Athina · ★4.91 · 1 bedroom · 1 bed · 1 bath,267345,Nikos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98747,23.7357,Entire home/apt,31,3,22,8/8/2020,0.26,1,0,0,77181
12265240,Rental unit in Athens · ★4.87 · 1 bedroom · 2 beds · 1 bath,30746995,Effie,,ΠΑΤΗΣΙΑ,38.01207,23.73387,Entire home/apt,33,1,385,9/18/2023,4.33,1,317,43,38630
13086140,Villa in Athina · ★4.94 · 4 bedrooms · 5 beds · 5.5 baths,59700037,Eirini,,ΣΤΑΔΙΟ,37.96707,23.73934,Entire home/apt,480,2,154,9/17/2023,1.79,1,330,37,641565
